slug,title_tag,title_length,meta_description,desc_length,h1,h1_matches_title,canonical,published_date,modified_date,word_count,faqpage_schema,breadcrumb_schema,og_image,robots
articles/akhilleus-kimdir,"Akhilleus Kimdir? Troya Savaşı'nın En Büyük Kahramanı ve Ölümsüz Şöhretin Bedeli | Antik Bilge",96,"Akhilleus kimdir? Troya Savaşı'nın en büyük kahramanı, Thetis ve Peleus'un oğlu, Patroklos, Hektor düellosu ve Aşil topuğu efsanesinin gerçek hikayesi.",155,Akhilleus Kimdir? Troya Savaşı'nın En Büyük Kahramanı ve Ölümsüz Şöhretin Bedeli,MATCH,https://antikbilge.com/articles/akhilleus-kimdir,2026-06-25,2026-06-25,5800,YES,YES,images/akhilleus-kapak.webp,"index, follow"
articles/antik-misir-tanrilari,"Antik Mısır Tanrıları: En Güçlü Tanrılar, Görevleri ve Mısır Mitolojisinin İlahi Dünyası | Antik Bilge",105,"Antik Mısır tanrıları: Ra, Osiris, Horus, İsis, Anubis, Thoth, Set, Hathor ve Bastet.",84,Antik Mısır Tanrıları: En Güçlü Tanrılar Görevleri ve Mısır Mitolojisinin İlahi Dünyası,MATCH,https://antikbilge.com/articles/antik-misir-tanrilari,2026-06-10,2026-06-10,6500,YES,YES,images/antik-misir-tanrilari.webp,"index, follow"
articles/antik-misirda-kediler-neden-kutsaldi,"Antik Mısır'da Kediler Neden Kutsaldı? Kedilere Tapılıyor muydu? | Antik Bilge",80,"Antik Mısır'da kediler neden kutsaldı? Bastet kimdi, kedi mumyaları neden yapıldı, kedi öldürmenin cezası ölüm müydü?",117,Antik Mısır'da Kediler Neden Kutsaldı? Kedilere Tapılıyor muydu?,MATCH,https://antikbilge.com/articles/antik-misirda-kediler-neden-kutsaldi,2026-08-28,2026-08-28,12000,YES,YES,images/antik-misirda-kediler-neden-kutsaldi-kapak.webp,"index, follow"
articles/antik-misirda-mumyalama,"Antik Mısır'da Mumyalama Nasıl Yapılıyordu? Ölümden Sonraki Yaşama Açılan Yol | Antik Bilge",91,"Antik Mısır'da mumyalama nasıl yapılıyordu? Ölümden sonraki yaşam inancı, Ka ve Ba ruhları, Anubis, kanopik kavanozlar ve mumyalama sürecinin tüm aşamaları.",154,Antik Mısır'da Mumyalama Nasıl Yapılıyordu? Ölümden Sonraki Yaşama Açılan Yol,MATCH,https://antikbilge.com/articles/antik-misirda-mumyalama,2026-06-01,2026-06-01,3500,YES,YES,images/misir-mumyalama.webp,"index, follow"
articles/anubis-kimdir,"Anubis Kimdir? Antik Mısır'ın Çakal Başlı Ölüm ve Mumyalama Tanrısı | Antik Bilge",82,"Anubis Kimdir? Antik Mısır'ın çakal başlı ölüm ve mumyalama tanrısı Anubis'in kökeni, görevleri, Osiris ile ilişkisi ve Mısır ölüm kültündeki merkezi rolü.",157,Anubis Kimdir? Antik Mısır'ın Çakal Başlı Ölüm ve Mumyalama Tanrısı,MATCH,https://antikbilge.com/articles/anubis-kimdir,2026-06-09,2026-06-09,3200,YES,YES,images/anubis.webp,"index, follow"
articles/apollon-kimdir,"Apollon Kimdir? Yunan Mitolojisinin Işık, Kehanet, Müzik ve Şifa Tanrısı | Antik Bilge",84,"Apollon kimdir? Yunan mitolojisinin kehanet, müzik ve ışık tanrısının karakteri, Delphi Kehanet Merkezi ve Apollon'un antik dünya üzerindeki kalıcı etkisi.",155,Apollon Kimdir? Yunan Mitolojisinin Işık Kehanet Müzik ve Şifa Tanrısı,MATCH,https://antikbilge.com/articles/apollon-kimdir,2026-07-08,2026-07-08,12500,YES,YES,images/apollon-kapak.webp,"index, follow"
articles/arachne-efsanesi,"Arachne Efsanesi: Athena'ya Meydan Okuyan Dokumacının Örümceğe Dönüşen Hikâyesi | Antik Bilge",90,"Arachne Efsanesi: Athena'ya meydan okuyan dokumacı gerçekten mi kazandı? Ovidius'un anlatısı, sanat yarışması ve bir insanın tanrısal kibrin bedelini ödeyişi.",158,Arachne Efsanesi: Athena'ya Meydan Okuyan Dokumacının Örümceğe Dönüşen Hikâyesi,MATCH,https://antikbilge.com/articles/arachne-efsanesi,2026-06-23,2026-06-23,5500,YES,YES,images/arachne-efsanesi.webp,"index, follow"
articles/ares-kimdir,"Ares Kimdir? Yunan Mitolojisinin Savaş Tanrısı Hakkında Bilmeniz Gereken Her Şey | Antik Bilge",88,"Ares kimdir? Yunan mitolojisinin savaş tanrısının karakteri, Athena ile farkı, Aphrodite ile ilişkisi ve Olimpos'taki sevilmeyen konumu.",141,Ares Kimdir? Yunan Mitolojisinin Savaş Tanrısı Hakkında Bilmeniz Gereken Her Şey,MATCH,https://antikbilge.com/articles/ares-kimdir,2026-07-06,2026-07-06,10600,YES,YES,images/ares-kapak.webp,"index, follow"
articles/artemis-kimdir,"Artemis Kimdir? Yunan Mitolojisinin Av, Doğa ve Ay Tanrıçası Hakkında Bilmeniz Gereken Her Şey | Antik Bilge",99,"Artemis kimdir? Yunan mitolojisinin av ve doğa tanrıçasının karakteri, bakirelik yemini, Orion ile ilişkisi ve antik kült merkezleri.",136,Artemis Kimdir? Yunan Mitolojisinin Av Doğa ve Ay Tanrıçası Hakkında Bilmeniz Gereken Her Şey,MATCH,https://antikbilge.com/articles/artemis-kimdir,2026-07-08,2026-07-08,10900,YES,YES,images/artemis-kapak.webp,"index, follow"
articles/athena-kimdir,"Athena Kimdir? Yunan Mitolojisinin Bilgelik, Strateji ve Savaş Tanrıçası | Antik Bilge",82,"Athena kimdir? Zeus'un başından doğuşu, bilgelik ve strateji tanrıçası olmasının nedeni, Arachne ve Poseidon ile mücadeleleri ve Atina şehrine adını verişi.",158,Athena Kimdir? Yunan Mitolojisinin Bilgelik Strateji ve Savaş Tanrıçası,MATCH,https://antikbilge.com/articles/athena-kimdir,2026-06-17,2026-06-17,5200,YES,YES,images/athena-kapak.webp,"index, follow"
articles/athena-medusayi-neden-lanetledi,"Athena Medusa'yı Neden Lanetledi? Yunan Mitolojisinin En Tartışmalı Hikâyesi | Antik Bilge",85,"Athena Medusa'yı neden lanetledi? Ovidius'un anlatısı, kutsal tapınak olayı ve lanet kararının arkasındaki gerçek mitolojik nedenlerin analizi.",147,Athena Medusa'yı Neden Lanetledi? Yunan Mitolojisinin En Tartışmalı Hikâyesi,MATCH,https://antikbilge.com/articles/athena-medusayi-neden-lanetledi,2026-06-16,2026-06-16,3800,YES,YES,images/athena-medusa-kapak.webp,"index, follow"
articles/athena-poseidon-atina-mucadelesi,"Athena ile Poseidon'un Atina Mücadelesi: Zeytin Ağacı, Deniz Gücü ve Bir Şehrin Kimliği | Antik Bilge",101,"Athena ile Poseidon'un Atina mücadelesi: Zeytin ağacı mı, deniz gücü mü? Akropolis'te geçen yarışmanın mitolojik ve siyasi boyutları.",137,Athena ile Poseidon'un Atina Mücadelesi: Zeytin Ağacı Deniz Gücü ve Bir Şehrin Kimliği,MATCH,https://antikbilge.com/articles/athena-poseidon-atina-mucadelesi,2026-06-18,2026-06-18,4800,YES,YES,images/athena-poseidon-atina-mucadelesi.webp,"index, follow"
articles/bastet-kimdir,"Bastet Kimdir? Antik Mısır'ın Kedi Tanrıçası, Koruyucusu ve Halkın En Sevdiği Tanrıçalardan Biri | Antik Bilge",106,"Bastet Kimdir? Mısırlılar kedileri neden kutsal sayardı? Bastet'in kökeni, evcil kediyle ilişkisi ve Antik Mısır'da en çok ibadet edilen tanrıçalardan biri olmasının nedenleri.",173,Bastet Kimdir? Antik Mısır'ın Kedi Tanrıçası Koruyucusu ve Halkın En Sevdiği Tanrıçalardan Biri,MATCH,https://antikbilge.com/articles/bastet-kimdir,2026-06-10,2026-06-10,3600,YES,YES,images/bastet-kimdir.webp,"index, follow"
articles/demeter-kimdir,"Demeter Kimdir? Yunan Mitolojisinde Bereket, Tarım ve Anne Yasının Tanrıçası | Antik Bilge",82,"Demeter kimdir? Yunan mitolojisinde bereket, tarım ve toprağın verimliliğinin tanrıçası Demeter'in hikâyesi, Persephone'nin kaçırılması ve mevsimlerin doğuşu.",159,Demeter Kimdir? Yunan Mitolojisinde Bereket Tarım ve Anne Yasının Tanrıçası,MATCH,https://antikbilge.com/articles/demeter-kimdir,2026-06-18,2026-06-18,4600,YES,YES,images/demeter-kimdir.webp,"index, follow"
articles/dionysos-kimdir,"Dionysos Kimdir? Yunan Mitolojisinin Şarap, Tiyatro, Coşku ve Dönüşüm Tanrısı | Antik Bilge",86,"Dionysos kimdir? Yunan mitolojisinin şarap, tiyatro, coşku ve dönüşüm tanrısının karakteri, ölüp yeniden dirilme mitleri ve Antik Yunan kültüründeki yeri.",158,Dionysos Kimdir? Yunan Mitolojisinin Şarap Tiyatro Coşku ve Dönüşüm Tanrısı,MATCH,https://antikbilge.com/articles/dionysos-kimdir,2026-07-09,2026-07-09,13500,YES,YES,images/dionysos-kapak.webp,"index, follow"
